Trinidad & Tobago, 29992, 204.36
Spain, 31958, 1483.15
Burkina, 37845, 1179.85
Kosovo, 35863, 1685.16
Iceland, 13297, 398.94
Costa Rica, 43994, 1446.83
Slovenia, 44935, 1045.66
Slovakia, 14279, 601.63
Tajikistan, 37435, 944.62
Angola, 28022, 1610.75
Eswatini, 22804, 1687.66
Costa Rica, 27678, 497.50
Nepal, 38292, 416.25
Denmark, 35403, 744.52
India, 43943, 238.70
Angola, 22430, 1263.31
Mongolia, 48038, 725.15
Ethiopia, 40255, 1333.33
Kuwait, 48931, 1367.00
France, 8910, 1419.22
Guatemala, 23914, 165.42
Australia, 30031, 540.17
Uruguay, 47877, 658.34
Russian Federation, 32975, 825.12
India, 5643, 1867.55
Slovenia, 17036, 850.48
Slovakia, 31795, 177.02
Spain, 14245, 206.45
Iceland, 38221, 879.09
Japan, 15364, 22.87
Mongolia, 23356, 1875.14
Guinea-Bissau, 4473, 1695.47
Japan, 20668, 953.62
Chile, 9846, 1382.01
Mongolia, 42139, 754.08
Cuba, 41313, 661.17
Barbados, 15409, 80.87
Albania, 40593, 976.90
India, 35688, 234.95
Cuba, 3882, 519.68
Moldova, 18963, 389.77
Denmark, 22102, 177.60
Nepal, 37449, 1017.42
Vietnam, 35690, 1383.34
South Africa, 45555, 1059.67
Russian Federation, 44314, 513.18
Azerbaijan, 3669, 116.54
Madagascar, 13617, 1483.37
Germany, 41542, 1443.78
Comoros, 5758, 904.52
Austria, 22840, 203.71
India, 11474, 1334.80
Marshall Islands, 32354, 759.43
Moldova, 42768, 266.01
Yemen, 10333, 1596.71
Vietnam, 35220, 719.91
San Marino, 18368, 703.20
Serbia, 45854, 1509.04
Denmark, 34535, 205.26
Bahamas, 15273, 1268.11
Angola, 30239, 309.93
Ukraine, 23870, 1281.89
Benin, 24776, 262.52
Georgia, 8461, 1841.06
India, 18083, 1697.78
Gambia, 1590, 1948.59
Djibouti, 38864, 296.95
Bangladesh, 12024, 637.99
Bhutan, 39639, 1790.99
Antigua & Deps, 13109, 1234.70
Russian Federation, 22687, 184.36
Congo, 2461, 1127.18
Vietnam, 25180, 110.86
Comoros, 13394, 344.33
Slovenia, 1653, 448.41
Iceland, 38077, 1509.27
Mongolia, 48704, 147.08
Nepal, 256, 998.71
Ukraine, 46368, 1481.74
Italy, 41138, 1446.35
Colombia, 49389, 1465.30
Taiwan, 41462, 918.07
Trinidad & Tobago, 7313, 572.88
Guatemala, 20227, 923.07
Russian Federation, 17650, 1711.31
Liberia, 16444, 610.35
Nepal, 15614, 400.81
Slovenia, 7644, 1176.90
Azerbaijan, 37781, 400.79
Spain, 29583, 1700.26
Kuwait, 42539, 861.74
Dominica, 9484, 155.80
Mongolia, 31592, 1528.04
